Season,Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_xG
2022-2023,Mauro Bandeira,pt POR,MF,18,0,,,,,0,,0,0,,3,,,,,,,,,,,
2022-2023,Nathan Butler-Oyedeji,eng ENG,FW,19,0,,,,,0,,0,0,,2,,,,,,,,,,,
2022-2023,Matthew Smith,eng ENG,MF,21,0,,,,,0,,0,0,,9,,,,,,,,,,,
2022-2023,James Hillson,eng ENG,GK,21,0,,,,,0,,0,0,,3,,,,,,,,,,,
2022-2023,Cătălin Cîrjan,ro ROU,MF,19,0,,,,,0,,0,0,,4,,,,,,,,,,,
2022-2023,Khayon Edwards,eng ENG,FW,18,0,,,,,0,,0,0,,2,,,,,,,,,,,
2022-2023,Charles Sagoe Jr,eng ENG,FW,18,0,,,,,0,,0,0,,1,,,,,,,,,,,
2022-2023,Bradley Ibrahim,eng ENG,MF,17,0,,,,,0,,0,0,,2,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,William Saliba,fr FRA,DF,22,50,"4,501",90,95.6,50.0,50,90,49,0,,1,2.14,111,40,+71,+1.42,+1.42,88.9,36.3,+52.6,+1.10,+0.34
2023-2024,Gabriel Magalhães,br BRA,DF,25,50,"4,330",87,91.9,48.1,48,90,45,2,13,2,2.12,99,40,+59,+1.23,-1.38,78.4,34.2,+44.2,+1.01,-0.98
2023-2024,Declan Rice,eng ENG,MF,24,51,"4,267",84,90.6,47.4,48,87,37,3,29,0,2.10,102,39,+63,+1.33,-0.09,83.7,33.8,+49.9,+1.11,+0.20
2023-2024,Ben White,eng ENG,DF,25,51,"4,080",80,86.6,45.3,46,86,37,5,21,0,2.09,96,37,+59,+1.30,-0.27,78.1,31.1,+47.0,+1.14,+0.28
2023-2024,Martin Ødegaard,no NOR,MF,24,48,"4,041",84,85.8,44.9,45,89,30,3,16,1,2.10,99,33,+66,+1.47,+0.93,79.7,32.0,+47.7,+1.13,+0.22
2023-2024,Bukayo Saka,eng ENG,FW,21,47,"3,844",82,81.6,42.7,46,83,23,1,25,1,2.07,96,36,+60,+1.40,+0.37,76.2,31.5,+44.6,+1.11,+0.08
2023-2024,Kai Havertz,de GER,"MF,FW",24,51,"3,817",75,81.0,42.4,43,85,26,8,19,0,2.16,96,34,+62,+1.46,+0.66,71.4,27.9,+43.5,+1.14,+0.19
2023-2024,David Raya,es ESP,GK,27,41,"3,720",91,83.8,41.3,41,91,41,0,,5,2.17,98,31,+67,+1.62,+0.76,77.5,29.4,+48.1,+1.17,+0.50
2023-2024,Gabriel Martinelli,br BRA,FW,22,44,"2,628",60,55.8,29.2,31,75,6,13,23,0,2.11,64,30,+34,+1.16,-0.39,51.3,18.9,+32.3,+1.16,+0.15
2023-2024,Leandro Trossard,be BEL,FW,28,46,"2,264",49,48.1,25.2,25,73,4,21,21,4,2.04,55,18,+37,+1.47,+0.26,44.0,18.6,+25.4,+1.05,-0.10
2023-2024,Oleksandr Zinchenko,ua UKR,DF,26,35,"2,078",59,45.9,23.1,24,75,7,11,25,8,2.20,49,19,+30,+1.30,-0.24,43.6,14.3,+29.3,+1.33,+0.42
2023-2024,Gabriel Jesus,br BRA,FW,26,36,"1,907",53,42.1,21.2,21,78,5,15,18,3,2.11,41,14,+27,+1.27,-0.27,39.5,14.7,+24.8,+1.20,+0.18
2023-2024,Jorginho,it ITA,MF,31,36,"1,679",47,36.3,18.7,19,78,6,17,11,14,2.17,34,20,+14,+0.75,-0.96,28.4,13.1,+15.2,+0.95,-0.23
2023-2024,Takehiro Tomiyasu,jp JPN,DF,24,30,"1,661",55,36.0,18.5,16,81,10,14,27,4,2.27,42,15,+27,+1.46,+0.05,31.1,15.3,+15.8,+0.92,-0.27
2023-2024,Jakub Kiwior,pl POL,DF,23,30,"1,594",53,33.8,17.7,18,82,11,12,10,22,2.33,45,16,+29,+1.64,+0.42,28.9,9.6,+19.2,+1.30,+0.29
2023-2024,Eddie Nketiah,eng ENG,FW,24,37,"1,408",38,29.9,15.6,13,80,4,24,16,14,1.95,28,15,+13,+0.83,-0.72,24.7,12.0,+12.7,+0.95,-0.21
2023-2024,Aaron Ramsdale,eng ENG,GK,25,11,990,90,21.0,11.0,11,90,11,0,,40,1.91,15,12,+3,+0.27,-1.35,12.1,7.1,+5.0,+0.71,-0.45
2023-2024,Thomas Partey,gh GHA,MF,30,16,883,55,19.9,9.8,10,80,5,6,14,6,2.50,21,6,+15,+1.53,+0.06,15.3,8.9,+6.4,+0.73,-0.45
2023-2024,Reiss Nelson,eng ENG,FW,23,23,652,28,14.1,7.2,5,74,0,18,16,20,2.05,14,5,+9,+1.24,-0.14,9.9,3.7,+6.2,+1.25,+0.17
2023-2024,Emile Smith Rowe,eng ENG,MF,23,19,486,26,10.3,5.4,4,77,0,15,12,23,1.95,15,4,+11,+2.04,+0.78,9.0,2.2,+6.8,+1.54,+0.48
2023-2024,Fabio Vieira,pt POR,FW,23,16,480,30,10.4,5.3,3,71,1,13,20,18,2.06,14,6,+8,+1.50,+0.11,9.7,2.3,+7.4,+1.72,+0.68
2023-2024,Jurriën Timber,nl NED,DF,22,3,146,49,4.2,1.6,2,62,0,1,22,0,2.33,3,0,+3,+1.85,+0.27,1.9,0.3,+1.6,+2.00,+0.74
2023-2024,Cédric Soares,pt POR,DF,31,5,127,25,2.7,1.4,1,61,0,4,17,24,2.60,2,1,+1,+0.71,-0.74,1.2,1.6,-0.4,-0.32,-1.46
2023-2024,Mohamed Elneny,eg EGY,MF,31,6,99,17,2.2,1.1,1,61,0,5,8,22,2.67,2,1,+1,+0.91,-0.53,1.1,1.3,-0.2,-0.20,-1.33
2023-2024,Charles Sagoe Jr,eng ENG,FW,19,1,67,67,1.5,0.7,1,67,0,0,,2,3.00,1,0,+1,+1.34,+2.94,,,,,
2023-2024,Kieran Tierney,sct SCO,"DF,MF",26,1,15,15,16.7,0.2,0,,0,1,15,0,1.00,1,1,0,0.00,0.00,,,,,
2023-2024,Ethan Nwaneri,eng ENG,MF,16,1,14,14,0.3,0.2,0,,0,1,14,5,3.00,0,0,0,0.00,-1.64,0.0,0.1,-0.1,-0.69,-1.97
2023-2024,Ayden Heaven,eng ENG,DF,16,0,,,,,0,,0,0,,1,,,,,,,,,,,
2023-2024,Myles Lewis-Skelly,eng ENG,DF,16,0,,,,,0,,0,0,,2,,,,,,,,,,,
2023-2024,James Sweet,wls WAL,DF,19,0,,,,,0,,0,0,,3,,,,,,,,,,,
2023-2024,Reuell Walters,eng ENG,DF,18,0,,,,,0,,0,0,,11,,,,,,,,,,,
2023-2024,Amario Duberry,eng ENG,FW,18,0,,,,,0,,0,0,,2,,,,,,,,,,,
2023-2024,Lino Sousa,eng ENG,DF,18,0,,,,,0,,0,0,,2,,,,,,,,,,,
2023-2024,Mauro Bandeira,pt POR,MF,19,0,,,,,0,,0,0,,2,,,,,,,,,,,
2023-2024,Bradley Ibrahim,eng ENG,MF,18,0,,,,,0,,0,0,,1,,,,,,,,,,,
2023-2024,Karl Jakob Hein,ee EST,GK,21,0,,,,,0,,0,0,,17,,,,,,,,,,,
2023-2024,Rob Holding,eng ENG,DF,27,0,,,,,0,,0,0,,1,,,,,,,,,,,
2023-2024,Matt Turner,us USA,GK,29,0,,,,,0,,0,0,,1,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,David Raya,es ESP,GK,28,55,"4,980",91,94.9,55.3,55,91,55,0,,1,1.89,102,50,+52,+0.94,-1.73,84.7,47.1,+37.6,+0.74,-0.62
2024-2025,William Saliba,fr FRA,DF,23,51,"4,464",88,85.0,49.6,50,88,47,1,45,3,1.92,93,40,+53,+1.07,+0.27,75.4,40.8,+34.6,+0.77,+0.17
2024-2025,Declan Rice,eng ENG,MF,25,52,"4,116",79,78.4,45.7,48,84,32,4,26,2,1.92,85,40,+45,+0.98,-0.21,71.0,37.3,+33.8,+0.79,+0.24
2024-2025,Thomas Partey,gh GHA,"MF,DF",31,52,"3,940",76,75.0,43.8,45,84,32,7,25,4,1.96,79,42,+37,+0.85,-0.73,64.4,40.5,+23.9,+0.58,-0.79
2024-2025,Jurriën Timber,nl NED,DF,23,48,"3,666",76,69.8,40.7,42,84,21,6,26,2,1.94,80,35,+45,+1.10,+0.25,60.4,30.5,+29.8,+0.82,+0.24
2024-2025,Gabriel Martinelli,br BRA,"FW,MF",23,51,"3,551",70,67.6,39.5,40,81,18,11,27,3,1.90,66,34,+32,+0.81,-0.67,58.1,34.2,+23.9,+0.67,-0.26
2024-2025,Gabriel Magalhães,br BRA,DF,26,42,"3,499",83,66.6,38.9,40,87,36,2,17,0,2.00,75,33,+42,+1.08,+0.16,57.0,31.1,+25.9,+0.74,-0.04
2024-2025,Leandro Trossard,be BEL,FW,29,56,"3,452",62,65.8,38.4,37,81,17,19,24,1,1.91,75,38,+37,+0.96,-0.19,58.9,32.1,+26.8,+0.75,0.00
2024-2025,Martin Ødegaard,no NOR,MF,25,45,"3,437",76,65.5,38.2,38,87,22,7,21,0,1.91,78,34,+44,+1.15,+0.36,60.8,30.1,+30.7,+0.89,+0.41
2024-2025,Kai Havertz,de GER,"FW,MF",25,36,"2,810",78,53.5,31.2,30,89,25,6,25,2,2.08,56,27,+29,+0.93,-0.21,46.1,23.8,+22.3,+0.82,+0.15
2024-2025,Mikel Merino,es ESP,"MF,FW",28,44,"2,640",60,50.3,29.3,29,81,18,15,20,2,1.87,54,28,+26,+0.89,-0.29,46.1,26.1,+20.0,+0.75,0.00
2024-2025,Bukayo Saka,eng ENG,"FW,MF",22,37,"2,609",71,50.9,29.0,30,80,12,7,30,0,2.00,58,29,+29,+1.00,-0.11,50.9,26.0,+24.9,+0.90,+0.33
2024-2025,Myles Lewis-Skelly,eng ENG,DF,17,39,"2,303",59,43.9,25.6,26,79,12,13,20,12,1.98,43,28,+15,+0.59,-0.79,33.2,22.1,+11.1,+0.51,-0.40
2024-2025,Jakub Kiwior,pl POL,DF,24,30,"2,160",72,41.1,24.0,21,90,20,9,30,27,2.06,46,25,+21,+0.87,-0.31,37.2,22.0,+15.2,+0.72,-0.05
2024-2025,Ben White,eng ENG,DF,26,26,"1,533",59,32.8,17.0,17,84,12,9,12,3,1.50,24,16,+8,+0.47,-0.90,24.0,20.8,+3.2,+0.19,-0.83
2024-2025,Riccardo Calafiori,it ITA,DF,22,29,"1,496",52,29.2,16.6,16,73,4,13,26,5,2.03,45,18,+27,+1.62,+0.81,30.7,15.4,+15.3,+0.97,+0.32
2024-2025,Jorginho,it ITA,MF,32,27,"1,455",54,27.7,16.2,16,81,8,11,15,25,2.00,35,14,+21,+1.30,+0.37,19.6,9.0,+10.6,+0.93,+0.23
2024-2025,Ethan Nwaneri,eng ENG,"FW,MF",17,37,"1,387",37,27.0,15.4,16,68,2,21,14,17,1.95,35,9,+26,+1.69,+0.87,20.0,7.8,+12.3,+0.99,+0.31
2024-2025,Gabriel Jesus,br BRA,"FW,MF",27,27,"1,207",45,23.0,13.4,13,76,5,14,16,2,1.96,28,8,+20,+1.49,+0.60,15.5,7.6,+7.9,+0.82,+0.09
2024-2025,Raheem Sterling,eng ENG,FW,29,28,"1,147",41,21.8,12.7,13,67,3,15,19,20,2.07,29,10,+19,+1.49,+0.59,15.5,7.1,+8.4,+0.95,+0.24
2024-2025,Oleksandr Zinchenko,ua UKR,"DF,MF",27,23,795,35,15.1,8.8,8,71,1,15,15,23,1.92,19,3,+16,+1.81,+0.90,12.7,4.9,+7.8,+0.97,+0.27
2024-2025,Kieran Tierney,sct SCO,"FW,DF",27,20,456,23,8.7,5.1,4,67,0,16,12,20,2.20,8,4,+4,+0.79,-0.26,7.3,4.1,+3.2,+0.75,0.00
2024-2025,Jack Porter,eng ENG,GK,16,1,90,90,1.8,1.0,1,90,1,0,,5,3.00,5,1,+4,+4.00,+4.00,,,,,
2024-2025,Tommy Setford,eng ENG,GK,18,1,90,90,1.8,1.0,1,90,1,0,,17,3.00,3,0,+3,+3.00,+2.75,,,,,
2024-2025,Josh Nichols,eng ENG,DF,18,1,90,90,2.3,1.0,1,90,1,0,,4,3.00,5,1,+4,+4.00,+4.00,,,,,
2024-2025,Neto,br BRA,GK,35,1,90,90,1.9,1.0,1,90,1,0,,47,3.00,2,1,+1,+1.00,-0.54,2.1,0.7,+1.4,+1.35,+0.42
2024-2025,Maldini Kacurri,al ALB,DF,18,1,21,21,0.4,0.2,0,,0,1,21,7,3.00,1,0,+1,+4.29,+3.66,,,,,
2024-2025,Ayden Heaven,eng ENG,DF,17,1,11,11,0.2,0.1,0,,0,1,11,5,3.00,0,0,0,0.00,-0.82,,,,,
2024-2025,Ismeal Kabia,eng ENG,MF,18,1,10,10,0.2,0.1,0,,0,1,10,13,3.00,0,0,0,0.00,-0.82,,,,,
2024-2025,Nathan Butler-Oyedeji,eng ENG,FW,21,2,8,4,0.2,0.1,0,,0,2,4,25,3.00,1,0,+1,+11.25,+10.19,0.3,0.0,+0.2,+2.71,+1.96
2024-2025,Takehiro Tomiyasu,jp JPN,DF,25,1,7,7,0.2,0.1,0,,0,1,7,0,3.00,1,0,+1,+12.86,+11.96,0.6,0.0,+0.5,+6.86,+6.20
2024-2025,Reiss Nelson,eng ENG,FW,24,1,3,3,0.1,0.0,0,,0,1,3,1,3.00,0,0,0,0.00,-0.92,0.0,0.0,0.0,+0.10,-0.57
2024-2025,Alexei Rojas,co COL,GK,18,0,,,,,0,,0,0,,1,,,,,,,,,,,
2024-2025,Brayden Clarke,wls WAL,DF,17,0,,,,,0,,0,0,,1,,,,,,,,,,,
2024-2025,Aaron Ramsdale,eng ENG,GK,26,0,,,,,0,,0,0,,2,,,,,,,,,,,
2024-2025,Eddie Nketiah,eng ENG,FW,25,0,,,,,0,,0,0,,2,,,,,,,,,,,
2024-2025,Salah Oulad M'Hand,nl NED,MF,20,0,,,,,0,,0,0,,3,,,,,,,,,,,
2024-2025,Zane Monlouis,eng ENG,DF,20,0,,,,,0,,0,0,,2,,,,,,,,,,,
2024-2025,Jack Henry-Francis,ie IRL,MF,20,0,,,,,0,,0,0,,9,,,,,,,,,,,
2024-2025,Josh Robinson,eng ENG,DF,19,0,,,,,0,,0,0,,4,,,,,,,,,,,
2024-2025,Michal Rosiak,pl POL,MF,18,0,,,,,0,,0,0,,1,,,,,,,,,,,
2024-2025,Jimi Gower,eng ENG,MF,19,0,,,,,0,,0,0,,7,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,
